Station,Coordinates
0153 Arbutus Greenway,"(49.2667647, -123.1411494)"
0155 Arbutus & McNicoll,"(49.2760877, -123.1513261)"
0159 Vine & 4th,"(49.2683741, -123.157433)"
0161 Alexander & Dunlevy,"(49.2840577, -123.095047)"
0165 Columbia & 5th,"(38.03037775, 23.742301632832376)"
0166 Alder & 11th,"(49.2617669, -123.1314892)"
0170 8th & Yukon,"(49.2639535, -123.1126594)"
0171 Yukon & 6th,"(-35.7005877, 173.7567862)"
0172 10th & Columbia,"(49.2622196, -123.1093161)"
0173 Columbia & 1st,"(49.2699811, -123.1095854)"
0174 1st & Manitoba,"(49.2702382, -123.106335)"
"0176 10th & Ontario, Vancouver","(49.2620546, -123.1047007)"
0177 Quebec & 1st,"(49.2703309, -123.1027341)"
0179 11th & Kingsway,"(49.2611458, -123.0974366)"
0180 Columbia & 14th,"(49.2589114, -123.1095676)"
0186 10th & Kingsway,"(49.2619701, -123.0973416)"
0187 Bute & Davie,"(49.2820425, -123.1330451)"
0189 Granville Island,"(49.2702636, -123.1349844)"
0190 Melville & Bute,"(49.2877533, -123.1239048)"
0191 7th & Laurel,"(49.2650434, -123.1237691)"
0192 7th &  Alder,"(49.2651767, -123.1310129)"
0193 Science World,"(49.2736718, -123.1022542)"
0196 Hornby & Drake,"(None, None)"
0197 1st & Scotia,"(55.940818, -4.25003)"
0198 5th & Main,"(12.8827623, 77.6054113)"
0199 Georgia & Main,"(49.2785197, -123.1000524)"
0200 Cardero & Bayshore,"(49.2915667, -123.1291772)"
0201 Shaw Tower,"(49.2886688, -123.1182129)"
0202 14th & Oak,"(49.258781, -123.1271099)"
0203 Pine & 14th,"(49.258866, -123.1435154)"
0204 York & Yew,"(49.2717489, -123.1554804)"
0205 Pine & 10th,"(49.2629314, -123.1433487)"
0206 8th & Scotia,"(49.2636196, -123.099236)"
0207 Alberni & Jervis,"(49.2876362, -123.1272215)"
0209 Stanley Park - Information Booth,"(49.2979505, -123.1306813)"
0210 Burrard & 14th,"(49.2594325, -123.1456168)"
0211 14th & Alder,"(49.2588295, -123.1313655)"
0212 Union & Dunlevy,"(49.2776095, -123.095793)"
0213 Pender & Gore,"(49.2802712, -123.0970897)"
0215 Princess & Union,"(49.2777049, -123.0917253)"
0217 Smithe & Burrard,"(49.2825174, -123.1246795)"
0218 Carrall & Seawall,"(49.2762933, -123.1065399)"
0219 Hawks & Union,"(34.855344939713135, -84.10670288128748)"
0221 Glen & Union,"(41.2536794, -77.6099827)"
0222 Adanac & McLean,"(49.2776591, -123.0735579)"
0223 Commercial & Adanac,"(49.2773948, -123.0704165)"
0224 Pender & Commercial,"(49.2803186, -123.0700656)"
0225 McLean & Pender,"(49.2801197, -123.0741648)"
0227 Campbell & Hastings,"(49.2806434, -123.084749)"
0228 Keefer & Hawks,"(49.2792153, -123.0874912)"
0229 Keefer & Princess,"(49.2793622, -123.0909562)"
0230 Alexander & Railway,"(49.2839923, -123.0911062)"
0231 Napier & Commercial,"(49.274881, -123.0692936)"
0232 Britannia Parking Lot,"(49.2758553, -123.0719018)"
0233 Thornton & National,"(49.2737663, -123.0927082)"
0235 Charles & Commercial,"(49.2731002, -123.0699248)"
0236 Keith & 6th,"(49.2649223, -123.0794519)"
0237 Glen & 6th,"(49.2649024, -123.0812237)"
0239 Grant & Commercial,"(49.2713808, -123.0693525)"
0240 2nd & Commercial,"(49.2686186, -123.0700509)"
0241 4th & Commercial,"(49.2669734, -123.0700235)"
0242 8th & Commercial,"(49.2632295, -123.0704772)"
0244 10th & Commercial,"(49.261412, -123.0701593)"
0245 Woodland & 10th,"(49.2612322, -123.0737544)"
0246 Glen & Broadway,"(49.2621862, -123.0814508)"
0248 St George & Broadway,"(49.2623071, -123.0930671)"
0249 7th & Woodland,"(49.2642309, -123.0738623)"
0250 Woodland & 4th,"(49.2666761, -123.0734696)"
0252 Woodland & Graveley,"(49.2707346, -123.0736192)"
